manufact,model,sales,resale,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,country
Acura,Integra,16.92,16.36,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,Japan
Acura,TL,39.38,19.875,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,Japan
Acura,CL,14.11,18.225,,3.2,225,106.9,70.6,192,3.47,17.2,26,Japan
Acura,RL,8.59,29.725,42,3.5,210,114.6,71.4,196.6,3.85,18,22,Japan
Cadillac,DeVille,63.73,22.525,39.9,4.6,275,115.3,74.5,207.2,3.978,18.5,22,United States
Cadillac,Seville,15.94,27.1,44.48,4.6,275,112.2,75,201,,18.5,22,United States
Cadillac,Eldorado,6.54,25.725,39.67,4.6,275,108,75.5,200.6,3.843,19,22,United States
Cadillac,Catera,11.19,18.225,31.01,3,200,107.4,70.3,194.8,3.77,18,22,United States
Cadillac,Escalade,14.79,,46.23,5.7,255,117.5,77,201.2,5.572,30,15,United States
Chevrolet,Cavalier,145.52,9.25,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,United States
Chevrolet,Malibu,135.13,11.225,16.54,3.1,170,107,69.4,190.4,3.051,15,25,United States
Chevrolet,Lumina,24.63,10.31,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,United States
Chevrolet,Monte Carlo,42.59,11.525,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,United States
Chevrolet,Camaro,26.4,13.025,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,United States
Chevrolet,Corvette,17.95,36.225,45.71,5.7,345,104.5,73.6,179.7,3.21,19.1,22,United States
Chevrolet,Prizm,32.3,9.125,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,United States
Chevrolet,Metro,21.86,5.16,9.24,1,55,93.1,62.6,149.4,1.895,10.3,45,United States
Chevrolet,Impala,108,,18.89,3.4,180,110.5,73,200,3.389,17,27,United States
Chrysler,Sebring Coupe,7.85,12.36,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,United States
Chrysler,Sebring Conv.,32.78,14.18,24.5,2.5,168,106,69.2,193,3.332,16,24,United States
Chrysler,Concorde,31.15,13.725,22.25,2.7,200,113,74.4,209.1,3.452,17,26,United States
Chrysler,CirrUnited States,32.31,12.64,16.48,2,132,108,71,186,2.911,16,27,United States
Chrysler,LHS,13.46,17.325,28.34,3.5,253,113,74.4,207.7,3.564,17,23,United States
Chrysler,300M,30.7,,29.19,3.5,253,113,74.4,197.8,3.567,17,23,United States
Dodge,Neon,76.03,7.75,12.64,2,132,105,74.4,174.4,2.567,12.5,29,United States
Dodge,Avenger,4.73,12.545,19.05,2.5,163,103.7,69.1,190.2,2.879,15.9,24,United States
Dodge,StratUnited States,71.19,10.185,20.23,2.5,168,108,71,186,3.058,16,24,United States
Dodge,Intrepid,88.03,12.275,22.51,2.7,202,113,74.7,203.7,3.489,17,,United States
Dodge,Viper,0.92,58.47,69.73,8,450,96.2,75.7,176.7,3.375,19,16,United States
Dodge,Ram Pickup,227.06,15.06,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,United States
Dodge,Ram Wagon,16.77,15.51,21.32,3.9,175,109.6,78.8,192.6,4.245,32,15,United States
Dodge,Ram Van,31.04,13.425,18.58,3.9,175,127.2,78.8,208.5,4.298,32,16,United States
Dodge,Dakota,111.31,11.26,16.98,2.5,120,131,71.5,215,3.557,22,19,United States
Dodge,Durango,101.32,,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,United States
Dodge,Caravan,181.75,12.025,19.57,2.4,150,113.3,76.8,186.3,3.533,20,24,United States
Ford,Escort,70.23,7.425,12.07,2,110,98.4,67,174.7,2.468,12.7,30,United States
Ford,MUnited Statestang,113.37,12.76,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,United States
Ford,Contour,35.07,8.835,17.04,2.5,170,106.5,69.1,184.6,2.769,15,25,United States
Ford,TaurUnited States,245.82,10.055,17.89,3,155,108.5,73,197.6,3.368,16,24,United States
Ford,FocUnited States,175.67,,12.32,2,107,103,66.9,174.8,2.564,13.2,30,United States
Ford,Crown Victoria,63.4,14.21,22.2,4.6,200,114.7,78.2,212,3.908,19,21,United States
Ford,Explorer,276.75,16.64,31.93,4,210,111.6,70.2,190.7,3.876,21,19,United States
Ford,Windstar,155.79,13.175,21.41,3,150,120.7,76.6,200.9,3.761,26,21,United States
Ford,Expedition,125.34,23.575,36.14,4.6,240,119,78.7,204.6,4.808,26,16,United States
Ford,Ranger,220.65,7.85,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,United States
Ford,F-Series,540.56,15.075,26.94,4.6,220,138.5,79.1,224.5,4.241,25.1,18,United States
Honda,Civic,199.69,9.85,12.89,1.6,106,103.2,67.1,175.1,2.339,11.9,32,Japan
Honda,Accord,230.9,13.21,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,Japan
Honda,CR-V,73.2,17.71,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,Japan
Honda,Passport,12.86,17.525,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,Japan
Honda,Odyssey,76.03,19.49,26,3.5,210,118.1,75.6,201.2,4.288,20,23,Japan
Lexus,ES300,24.07,26.975,31.51,3,210,105.1,70.5,190.2,3.373,18.5,23,Japan
Lexus,GS300,12.7,32.075,37.81,3,225,110.2,70.9,189.2,3.638,19.8,23,Japan
Lexus,GS400,3.33,,46.31,4,300,110.2,70.9,189.2,3.693,19.8,21,Japan
Lexus,LS400,6.38,40.375,54.01,4,290,112.2,72,196.7,3.89,22.5,22,Japan
Lexus,LX470,9.13,,60.11,4.7,230,112.2,76.4,192.5,5.401,25.4,15,Japan
Lexus,RX300,51.24,,34.61,3,220,103,71.5,180.1,3.9,17.2,21,Japan
Mitsubishi,Mirage,26.23,8.325,13.99,1.8,113,98.4,66.5,173.6,2.25,13.2,30,Japan
Mitsubishi,Eclipse,42.54,10.395,19.05,2.4,154,100.8,68.9,175.4,2.91,15.9,24,Japan
Mitsubishi,Galant,55.62,10.595,17.36,2.4,145,103.7,68.5,187.8,2.945,16.3,25,Japan
Mitsubishi,Diamante,5.71,16.575,25,3.5,210,107.1,70.3,194.1,3.443,19,22,Japan
Mitsubishi,3000GT,0.11,20.94,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,Japan
Mitsubishi,Montero,11.34,19.125,31.81,3.5,200,107.3,69.9,186.6,4.52,24.3,18,Japan
Mitsubishi,Montero Sport,39.35,13.88,22.53,3,173,107.3,66.7,178.3,3.51,19.5,20,Japan
Mercedes-Benz,C-Class,18.39,26.05,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,Germany
Mercedes-Benz,E-Class,27.6,41.45,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25,Germany
Mercedes-Benz,S-Class,16.77,50.375,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21,Germany
Mercedes-Benz,SL-Class,3.31,58.6,82.6,5,302,99,71.3,177.1,4.125,21.1,20,Germany
Mercedes-Benz,SLK,8,,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26,Germany
Mercedes-Benz,SLK230,1.53,,41,2.3,185,94.5,67.5,157.3,2.975,14,27,Germany
Mercedes-Benz,CLK Coupe,11.59,,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26,Germany
Mercedes-Benz,CL500,0.95,,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20,Germany
Mercedes-Benz,M-Class,28.98,,35.3,3.2,215,111,72.2,180.6,4.387,19,20,Germany
Nissan,Sentra,42.64,8.45,13.5,1.8,126,99.8,67.3,177.5,2.593,13.2,30,Japan
Nissan,Altima,88.09,11.295,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,Japan
Nissan,Maxima,79.85,15.125,26.25,3,222,108.3,70.3,190.5,3.294,18.5,25,Japan
Nissan,Quest,27.31,15.38,26.4,3.3,170,112.2,74.9,194.8,3.991,20,21,Japan
Nissan,Pathfinder,42.57,17.81,29.3,3.3,170,106.3,71.7,182.6,3.947,21,19,Japan
Nissan,Xterra,54.16,,22.8,3.3,170,104.3,70.4,178,3.821,19.4,18,Japan
Nissan,Frontier,65.01,,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,Japan
Oldsmobile,Cutlass,1.11,11.24,18.15,3.1,150,107,69.4,192,3.102,15.2,25,United States
Oldsmobile,Intrigue,38.55,,24.15,3.5,215,109,73.6,195.9,3.455,18,,United States
Oldsmobile,Alero,80.26,,18.27,2.4,150,107,70.1,186.7,2.958,15,27,United States
Oldsmobile,Aurora,14.69,19.89,36.23,4,250,113.8,74.4,205.4,3.967,18.5,22,United States
Oldsmobile,Bravada,20.02,19.925,31.6,4.3,190,107,67.8,181.2,4.068,17.5,19,United States
Oldsmobile,Silhouette,24.36,15.24,25.35,3.4,185,120,72.2,201.4,3.948,25,22,United States
Pontiac,Sunfire,51.65,13.79,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,United States
Pontiac,Grand Am,131.1,10.29,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,United States
Pontiac,Firebird,19.91,17.805,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,United States
Pontiac,Grand Prix,92.36,14.01,21.67,3.8,195,110.5,72.7,196.5,3.396,18,25,United States
Pontiac,Bonneville,35.95,13.225,23.76,3.8,205,112.2,72.6,202.5,3.59,17.5,24,United States
Pontiac,Montana,39.57,,25.64,3.4,185,120,72.7,201.3,3.942,25,23,United States
Toyota,Corolla,142.54,10.025,13.11,1.8,120,97,66.7,174,2.42,13.2,33,Japan
Toyota,Camry,247.99,13.245,17.52,2.2,133,105.2,70.1,188.5,2.998,18.5,27,Japan
Toyota,Avalon,63.85,18.14,25.55,3,210,107.1,71.7,191.9,3.417,18.5,26,Japan
Toyota,Celica,33.27,15.445,16.88,1.8,140,102.4,68.3,170.5,2.425,14.5,31,Japan
Toyota,Tacoma,84.09,9.575,11.53,2.4,142,103.3,66.5,178.7,2.58,15.1,23,Japan
Toyota,Sienna,65.12,,22.37,3,194,114.2,73.4,193.5,3.759,20.9,22,Japan
Toyota,RAV4,25.11,13.325,16.89,2,127,94.9,66.7,163.8,2.668,15.3,27,Japan
Toyota,4Runner,68.41,19.425,22.29,2.7,150,105.3,66.5,183.3,3.44,18.5,23,Japan
Toyota,Land Cruiser,9.84,34.08,51.73,4.7,230,112.2,76.4,192.5,5.115,25.4,15,Japan
Volkswagen,Golf,9.76,11.425,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26,Germany
Volkswagen,Jetta,83.72,13.24,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26,Germany
Volkswagen,Passat,51.1,16.725,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27,Germany
Volkswagen,Cabrio,9.57,16.575,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,Germany
Volkswagen,GTI,5.6,13.76,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26,Germany
Volkswagen,Beetle,49.46,,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26,Germany
Volvo,S40,16.96,,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25,Sweden
Volvo,V40,3.55,,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25,Sweden
Volvo,S70,15.25,,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25,Sweden
Volvo,V70,17.53,,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25,Sweden
Volvo,C70,3.49,,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23,Sweden
Volvo,S80,18.97,,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24,Sweden
